source,label_col,subgroup_col,subgroup_val,auditor,accuracy,demographic_parity,equalized_odds,equal_opportunity
clip,gender,race,2,deep,0.908315565031983,0.06043546252856974,0.07429212409481514,0.062408618699499874
clip,gender,race,3,deep,0.9725490196078431,0.06043546252856974,0.07429212409481514,0.062408618699499874
clip,gender,race,4,deep,0.9601226993865031,0.06043546252856974,0.07429212409481514,0.062408618699499874
clip,gender,race,5,deep,0.9745762711864406,0.06043546252856974,0.07429212409481514,0.062408618699499874
clip,gender,race,6,deep,0.9508196721311475,0.06043546252856974,0.07429212409481514,0.062408618699499874
clip,gender,age,0,deep,0.8216783216783217,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,1,deep,0.9295392953929539,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,2,deep,0.9774011299435028,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,3,deep,0.9797507788161994,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,4,deep,0.9845559845559846,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,5,deep,0.9931740614334471,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,6,deep,0.9886363636363636,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,7,deep,0.9787234042553191,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,gender,age,8,deep,0.9924812030075187,0.2865689606343812,0.17855919346155727,0.17006802721088432
clip,race,overall,-1,naive,0.3343333333333333,,,
clip,race,gender,0,naive,0.3449612403100775,0.0,0.0,0.0
clip,race,gender,1,naive,0.32300275482093666,0.0,0.0,0.0
clip,race,age,0,naive,0.21328671328671328,0.0,0.0,0.0
clip,race,age,1,naive,0.3062330623306233,0.0,0.0,0.0
clip,race,age,2,naive,0.4661016949152542,0.0,0.0,0.0
clip,race,age,3,naive,0.22118380062305296,0.0,0.0,0.0
clip,race,age,4,naive,0.24324324324324326,0.0,0.0,0.0
clip,race,age,5,naive,0.31399317406143346,0.0,0.0,0.0
clip,race,age,6,naive,0.4621212121212121,0.0,0.0,0.0
clip,race,age,7,naive,0.6524822695035462,0.0,0.0,0.0
clip,race,age,8,naive,0.6766917293233082,0.0,0.0,0.0
clip,race,overall,-1,svm,0.75,,,
clip,race,gender,0,svm,0.7564599483204134,0.006185381449652067,0.023451497745012557,0.0403842188113257
clip,race,gender,1,svm,0.7431129476584022,0.006185381449652067,0.023451497745012557,0.0403842188113257
clip,race,age,0,svm,0.8286713286713286,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,1,svm,0.6991869918699187,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,2,svm,0.7796610169491526,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,3,svm,0.7009345794392523,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,4,svm,0.7181467181467182,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,5,svm,0.7406143344709898,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,6,svm,0.7803030303030303,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,7,svm,0.8226950354609929,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,age,8,svm,0.8872180451127819,0.20781084440144623,0.24172607632218082,0.4265740946445438
clip,race,overall,-1,deep,0.8106666666666666,,,
clip,race,gender,0,deep,0.8126614987080103,0.015214055383188579,0.03229941129481991,0.054769441190056445
clip,race,gender,1,deep,0.8085399449035813,0.015214055383188579,0.03229941129481991,0.054769441190056445
clip,race,age,0,deep,0.8846153846153846,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,1,deep,0.7831978319783198,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,2,deep,0.8192090395480226,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,3,deep,0.7710280373831776,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,4,deep,0.7741312741312741,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,5,deep,0.8191126279863481,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,6,deep,0.8636363636363636,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,7,deep,0.8297872340425532,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,race,age,8,deep,0.8947368421052632,0.20819960561942633,0.24562605960039746,0.4462308924008327
clip,age,overall,-1,naive,0.214,,,
clip,age,gender,0,naive,0.2622739018087855,0.0,0.0,0.0
clip,age,gender,1,naive,0.162534435261708,0.0,0.0,0.0
clip,age,race,0,naive,0.1415752741774676,0.0,0.0,0.0
clip,age,race,1,naive,0.20146520146520147,0.0,0.0,0.0
clip,age,race,2,naive,0.1812366737739872,0.0,0.0,0.0
clip,age,race,3,naive,0.30196078431372547,0.0,0.0,0.0
clip,age,race,4,naive,0.25766871165644173,0.0,0.0,0.0
clip,age,race,5,naive,0.2796610169491525,0.0,0.0,0.0
clip,age,race,6,naive,0.30601092896174864,0.0,0.0,0.0
clip,age,overall,-1,svm,0.6406666666666667,,,
clip,age,gender,0,svm,0.6518087855297158,0.03757566266375287,0.0471240090422838,0.07887381415598252
clip,age,gender,1,svm,0.6287878787878788,0.03757566266375287,0.0471240090422838,0.07887381415598252
clip,age,race,0,svm,0.6520438683948155,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,race,1,svm,0.5714285714285714,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,race,2,svm,0.7100213219616205,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,race,3,svm,0.6372549019607843,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,race,4,svm,0.6717791411042945,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,race,5,svm,0.5508474576271186,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,race,6,svm,0.5737704918032787,0.12406124570487854,0.23546454393378236,0.4101373403218043
clip,age,overall,-1,deep,0.6706666666666666,,,
clip,age,gender,0,deep,0.6776485788113695,0.04232363569925233,0.061273837740045134,0.10645840576261317
clip,age,gender,1,deep,0.6632231404958677,0.04232363569925233,0.061273837740045134,0.10645840576261317
clip,age,race,0,deep,0.7028913260219342,0.12602710513152174,0.2884301415784931,0.5122513763165745
clip,age,race,1,deep,0.5677655677655677,0.12602710513152174,0.2884301415784931,0.5122513763165745
clip,age,race,2,deep,0.7036247334754797,0.12602710513152174,0.2884301415784931,0.5122513763165745
clip,age,race,3,deep,0.703921568627451,0.12602710513152174,0.2884301415784931,0.5122513763165745
clip,age,race,4,deep,0.6901840490797546,0.12602710513152174,0.2884301415784931,0.5122513763165745
clip,age,race,5,deep,0.5847457627118644,0.12602710513152174,0.2884301415784931,0.5122513763165745
clip,age,race,6,deep,0.546448087431694,0.12602710513152174,0.2884301415784931,0.5122513763165745
deepface,gender,overall,-1,naive,0.5562222222222222,,,
deepface,gender,race,0,naive,0.5324027916251246,0.0,0.0,0.0
deepface,gender,race,1,naive,0.5018315018315018,0.0,0.0,0.0
deepface,gender,race,2,naive,0.5181236673773987,0.0,0.0,0.0
deepface,gender,race,3,naive,0.5490196078431373,0.0,0.0,0.0
deepface,gender,race,4,naive,0.4570552147239264,0.0,0.0,0.0
deepface,gender,race,5,naive,0.5,0.0,0.0,0.0
